Description,Code,SKU,UOM,Resource Type,Expense Item (by Default)
CABLE TIE BAND 7.6X300MM,00-50002301,,Pkt,Inventory Item,
CARDBOARD EDGE PROTECTOR,00-50001092,,Nos,Inventory Item,Cost of Materials
Catalyst for FR@50% 12.5ltr E/1015 IT,00-50003007,,LTR,Inventory Item,
CFK S.S. MORTICE LOCK CASE 85X45 MAB W/OUT CYL-- BLACK COLOR - MADE IN GERMANY,00-50003529,,Nos,Inventory Item,
"chair 
Description : ax performance ergonomic black frame executive chair 11 pics, style : black & white, dimension as : 68*62*112cm",KLS0200129,,Nos,Service,
CINEMA CHAIR WH-208 RED,00-50003792,,Nos,Inventory Item,
"CLAMP 5"" ",00-50002486,,Nos.,Inventory Item,Cost of Materials
"CLARKE ELECTRIC DRYWALL SANDER 10"" 800W",00-50003516,,Nos,Inventory Item,
CLEAR TAPE 2''X50 YARD,00-50000395,,Box,Inventory Item,
CNC BIT 225631 - ARDEN,00-50002144,,Nos,Inventory Item,
CNC BIT 3 X 15 X 40,00-50000720,,Nos,Inventory Item,
CNC BIT 3 X 15 X 50,00-50000719,,Nos,Inventory Item,
COMMERCIAL PLYWOOD INDONESIAN (LIGHT WEIGHT) 4X8X18MM,00-50002779,,SHEET,Inventory Item,Cost of Materials
CONCEALED TOWER BOLT 500MM,00-50003896,,Nos,Inventory Item,Cost of Materials
CONCEALED TOWER BOLT 610MM- GOLD COLOR,00-50000788,,Nos,Inventory Item,Cost of Materials
CONTESSA VELVET DINING CHAIR- RENTAL,00-50002440,,No.,Service,
CORNER L CONNECTOR FOR GOLA HANDLE PROFILE,00-50000276,,Nos,Inventory Item,
COTTON WASTE - WHITE,00-50000696,,bag,Inventory Item,
CROSS LINE LASER WITH TRIPOD,00-50000817,,Nos,Inventory Item,Cost of Materials
CRYSTAL CLEAR TEMPERED GLASS 8MM,00-50003776,,Nos.,Inventory Item,
CYLINDER COVER SS FINISH - ROUND TYPE,00-50003352,,Pair,Inventory Item,
DECOR ACESSORY,00-50004014,,Nos,Inventory Item,
DECOR PLATE CS 3001GP,00-50004007,,Nos,Inventory Item,
DECOR STRIP 10MM x 2 MTR (1024-A-2M-GP),00-50004005,,Mtr,Inventory Item,
DECOR STRIP 15MM x 2 MTR (1024-A-2M-GP),00-50004006,,Mtr,Inventory Item,
DECRON ROLL 3CM,00-50003655,,Roll,Inventory Item,
Delivery,00-50001944,,LS,Service,
Delivery Charges,00-50001395,,LS,Service,
DELL POWER EDGE R720 PSU,00-50000732,,No.,Inventory Item,
DESKTOP RAM DDR4,00-50000801,,Nos,Service,
DOOR FITTING STRAIGHTAWAY 130 HCN01308,00-50003374,,Set,Inventory Item,
DOOR FITTING STRAIGHTAWAY 180 HCN01815,00-50003370,,Set,Inventory Item,
DOOR HANDLE No-2461 BLACKSOFT TOUCH,00-50000785,,Pair,Inventory Item,
DOOR HINGES ,00-50001417,,Nos,Service,
DOOR KNOB 28MM DIA - BLACK,00-50003621,,Nos,Inventory Item,
DOOR LEVER HANDLE WITH LOCK BODY AND 70MM CYLINDER,00-50003378,,Set,Inventory Item,
DOOR TRIGGER SENSOR FOR LED - DOUBLE,00-50003633,,Nos,Inventory Item,
DOOR TRIGGER SENSOR FOR LED - SINGLE,00-50003632,,Nos,Inventory Item,
DOUBLE FR SERVICE DOOR,00-50003836,,Nos.,Inventory Item,
DOUBLE SOCKET 13A,00-50003522,,Nos,Inventory Item,
DRAWER CH S/M 350MM SOFT CLOSE-BLUM,00-50003785,,Set,Inventory Item,
DRAWER CHANNEL 200MM - BOTTOM RAIL,00-50003932,,Pair,Inventory Item,
DRAWER CHANNEL 400MM - BOTTOM RAIL - PUSH TO OPEN - BLUM,00-50003605,,Pair,Inventory Item,
DRAWER CHANNEL 450MM - BOTTOM RAIL,00-50000777,,Pair,Inventory Item,Cost of Materials
"Drawer Channel 500mm, Soft Closing Bottom Mounted - FGV",00-50000858,,Set,Inventory Item,
DRYWALL SCREW 8X2 CLASSIC 500PCS/ PKT,00-50000259,,Pkt.,Inventory Item,
DUST STOPPER,00-50003670,,Nos.,Inventory Item,
DYED PAINT - BLACK # 15063,00-50002655,,Litre,Inventory Item,Cost of Materials
DYED PAINT - BROWN # 15062,00-50001016,,Litre,Inventory Item,Cost of Materials
DYED PAINT - MAHOGANY # 15740,00-50001012,,Litre,Inventory Item,Cost of Materials
DYED PAINT - TEAK # 15770,00-50001013,,Litre,Inventory Item,Cost of Materials
DYED PAINT - WHITE # 12074,00-50003634,,Litre,Inventory Item,Cost of Materials
"E/TZ614M-,18ltrs EVI PU Slow Dry Tinner",00-50003008,,LTR,Inventory Item,
EDGE BANDER MACHINE WFS-210,00-50002881,,Unit,Inventory Item,
ELCTROPLATING,00-50003155,,LOT,Service,
EMBROIDERY ON FABRIC,00-50002428,,Nos.,Service,
EPOGLASS Hi Build Epoxy Resin Clear - ICA,00-50002947,,Kg,Inventory Item,
EVI Pu Basecoat White FR 25ltr E/1466,00-50003006,,LTR,Inventory Item,
EVI PU THINNER 20Ltr ( E/610-SP),00-50003005,,LTR,Inventory Item,
EXEC. SECRETARIES DECORATIVE SIDE TABLE,00-50001533,,Nos.,Service,
EXHIBITION ARM LIGHT IP54 3000K OUTDOOR LIGHT,00-50004043,,Nos,Inventory Item,
EXTERNAL DOOR FULL SET,00-50003029,,Nos.,Service,
EXTERNAL DOUBLE DOOR FULL SET,00-50003782,,Nos.,Service,
F CLAMP 1200MM - HEAVY DUTY,00-50002055,,Nos.,Inventory Item,Cost of Materials
F CLAMP 900MM - HEAVY DUTY,00-50002054,,Nos.,Inventory Item,Cost of Materials
FABIC OUTBOUND - LOOP - 45-LINEN - FABRIC LIBRARY,00-50003429,,Mtr,Inventory Item,
FABRIC - SIT OUT - 18-ALABASTER (FABRIC LIBRARY),00-50002053,,Mtr,Inventory Item,Cost of Materials
FABRIC - SIT OUT - 34 - BLUE STONE (FABRIC LIBRARY),00-50001091,,Mtr,Inventory Item,Cost of Materials
FABRIC CODE: PL72 AL REYAMI,00-50003552,,Mtr,Inventory Item,
FABRICATION & SUPPLY OF MS TOWER,00-50001650,,Nos,Service,
Fabrication and supply of revolving doors custom made center pivoted mechanism with floor and roof support. ,00-50004038,,Nos,Inventory Item,
FENO EMU/MATT `A`BAS16.2L 9001 RAL ,00-50003763,,Drum,Inventory Item,
FENO EMU/MATT `C`BAS16.2 6003 RAL,00-50003762,,Drum,Inventory Item,
FEVICOL HEAT-X,00-50003656,,Gallon,Inventory Item,
FEVICOL lK PUR 500-GRAM,00-50000876,,CTN,Inventory Item,
FIRE & SAFETY ,00-50001210,,Nos,Service,Direct Cost
FIRE RATING CERTIFICATION,00-50002806,,LS,Service,
FIRE STRIP 15X4MM  LIGHT BROWN,00-50000900,,Nos,Inventory Item,
FIRE STRIP FOR 90MIN DOOR CORE,00-50003126,,Set,Inventory Item,Cost of Materials
FirstBit ERP Contracting Cloud Subscription - 10 users/12 months:Cloud subscription for the FirstBit ERP Contracting software in FirstBit Data Center ,00-50001571,,LS,Service,
FISHER PLUG 6MM-RED,00-00000198,,Pkt.,Inventory Item,
FORKLIFTER RENTAL,00-50003023,,LS,Service,
FP460FR Fire Retardent Basecoat White - ICA,00-50003328,,Kg,Inventory Item,
FR CERTIFICATION,00-50001910,,Nos,Service,
FULL LOCK HOLE SPIRAL BIT (9P.160.A),00-50002612,,Nos.,Inventory Item,
G 2100 UNIVERSAL MULTIFOAM,00-50004052,,PCS,Inventory Item,
GARBAGE BAG BLACK,00-50001887,,Nos,Inventory Item,
GAS STOVE 2 BURNER,00-50003722,,Nos,Fixed Asset,
"GOLA HANDLE PROFILE L-SHAPE, BLACK COLOR",00-50000274,,Mtr,Inventory Item,
GOLA PROFILE U SHAPE-BLACK COLOR,00-50000275,,Mtr,Inventory Item,
Gypsum Board Plug M10 x 17S6,00-50000252,,Pkt.,Inventory Item,
GYPSUM POWDER 25KG - SADAF,00-50000311,,bag,Inventory Item,Cost of Materials
GYPSUM WORK,00-50003280,,LS,Service,
"HAGER CIRCUIT BREAKER 40AMP, 4 POLE, 300 Ma (ELCB/RCCB)",00-50003521,,Nos,Inventory Item,
HALF FACE MASK-3M REUSABLE,00-50001600,,Nos,Inventory Item,Cost of Materials
HALF FACE MASK-3M REUSABLE(ACCESSORIES),00-50001601,,Nos,Inventory Item,Cost of Materials
HANGER HOOK,00-50003962,,Nos.,Inventory Item,
HANGER SET (2 WHEEL) FA-75 HCN02262,00-50004019,,Nos,Inventory Item,
HANGING LIGHT 3000K,00-50003649,,Nos.,Inventory Item,
HANGING PENDANT LIGHT,00-50002243,,Pcs,Inventory Item,
HARD FOAM 20KG 200X100X1CM,00-50000919,,Nos,Inventory Item,
HASP & STAPLE-BLACK (LATCH LOCK),00-50000299,,Nos,Inventory Item,
HAZARD STICKER,00-50004042,,Nos,Inventory Item,
HEATEX 3.8L/GAL - PIDILITE,00-50000857,,GLN,Inventory Item,
HEAVY DUTY RACKING WITH SUPPORT BARS,00-50002032,,Nos,Service,
HERITAGE CEILING BAMBOO STICKS Supply and installation,00-50000383,,Sqm,Service,Subcontractor Cost
HERITAGE CHAIR AS PER DRAWING WITHOUT UPHOLSTERY AND PAINT,00-50001540,,Nos.,Service,
"HETTICH ALU PROFILE  FOR 6MM  GLASS MATT BLACK-9315684, AS PER SAMPLE",00-50000834,,LM,Inventory Item,
"HETTICH-9311023 ANGLE 13684 BLACK 4 ANGLE+SCREW, AS PER SAMPLE",00-50000854,,Set,Inventory Item,
HINGES SCREW - ANTIQUE FINISH,00-50003793,,Nos,Inventory Item,
HOSTING CONFIGURATION,00-50001127,,Nos,Service,Office Supplies
HP 938 YELLOW INK CART,00-50002791,,Nos.,Inventory Item,
HPL LAMINATE 4X8X0.8MM- 4151SF,00-50000278,,Year,Inventory Item,
HPL LAMINATE 4X8X0.8MM FY18214 LM YAKARTATECA,00-50000277,,SHEET,Inventory Item,
HSS DRILL BIT 3.5X100MM-UKEN,00-50003677,,Pkt,Inventory Item,
IND94 Catalyst x EPOGLASS @ 50% - ICA,00-50002948,,Kg,Inventory Item,
INSTALLATION FR WOODEN DOOR INCLUDING FRAME ARCHITRAVE ,00-50003017,,Nos,Inventory Item,
INSTALLATION NFR WOODEN DOOR INCLUDING FRAME ARCHITRAVE,00-50003016,,Nos,Inventory Item,
INSTALLATION OF DOUBLE DOOR,00-50003696,,Nos,Inventory Item,
Installation Of Kitchen Backspalsh 600 mm Hight With Silicon & Grout,00-50003419,,LM,Service,
INSTALLATION OF KITCHEN BASE UNIT,00-50003013,,RM,Service,
INSTALLATION OF KITCHEN CABINETS,00-50003695,,kitchen,Service,
Installation Of Kitchen Island Top 700 mm Width Pure White Quartz 20 mm Thick With Silicon & Grout,00-50003420,,LM,Inventory Item,
INSTALLATION OF KITCHEN SINK,00-50003577,,Nos.,Service,
INSTALLATION OF KITCHEN TALL UNIT AND FRIEDGE UNIT,00-50003014,,Sqm,Inventory Item,
INSTALLATION OF KITCHEN WALL UNIT,00-50003012,,RM,Service,
INSTALLATION OF KITHCEN FULL SET,00-50003985,,Set,Inventory Item,
INSTALLATION OF TV UNIT,00-50003824,,Nos.,Service,
Installation Of Vanity Counter Top Pure White Quartz 20 mm Thick With Silicon & Grout,00-50003416,,LM,Inventory Item,
Installation Of Vanity Counter Top Pure White Quartz 20 mm Thick With Silicon & Grout,00-50003417,,LM,Service,
INSTALLATION OF WARDROBE,00-50003015,,Sqm,Inventory Item,
INSTALLING KITCHEN CABINET - BASE UNIT,00-50003291,,RM,Service,
INSTALLING KITCHEN CABINET - WALL UNIT,00-50003293,,RM,Inventory Item,
INSTALLING KITCHEN CABINET - WALL UNIT,00-50003296,,RM,Service,
INTERNAL DOOR FULL SET,00-50003028,,Nos.,Service,
INTUMESCENT STRIP 2000 X 20 X 4,00-50000752,,Nos,Inventory Item,
INTUMESCENT STRIP 2MMX54MMX2000,00-50003658,,Nos.,Inventory Item,
INTUMESCENT STRIP 2MMX64MMX2000,00-50003657,,Nos.,Inventory Item,
Joinery Item,00-50001363,,Item ,Inventory Item,
JOTUN FENOMASTIC EMU MATT 'A' BASE DRM RAL 9010,00-50003440,,Drum,Inventory Item,
JOTUN FENOMASTIC EMU MATT 'B' BASE DRM RAL 7004,00-50003441,,Drum,Inventory Item,
JOTUN FENOMASTIC EMU MATT 'B' BASE DRM RAL8023 ORANGE BROWN,00-50003795,,Drum,Inventory Item,
JOTUN FENOMASTIC EMU MATT 'C' BASE DRM RAL 7016,00-50003439,,Drum,Inventory Item,
JOTUN FENOMASTIC EMU MATT 'C' BASE DRM RAL6021 PALE GREEN,00-50003796,,Drum,Inventory Item,
JOTUN FENOMASTIC MY HOME RICH MATT 'B' DRUM,00-50004016,,LTR,Inventory Item,
Jotun Fenomastic Myhome Rich Matt base A ,00-50000793,,Gallon,Inventory Item,
JOWAT POWDER GLUE -25KG  BAG (950.20),00-50000875,,bag,Inventory Item,
KD FITTING FULL SET -18MM,00-50000918,,Set,Inventory Item,
KERAFIX 2000X2MMX18MM THERMAL INSULATION GLAZING TAPE,00-50003660,,LM,Inventory Item,
KERAFIX 2000X3MMX18MM THERMAL INSULATION GLAZING TAPE,00-50003659,,LM,Inventory Item,
LAMINATE HPL CODE-5136 SF 0.8MMX4X8,00-50003697,,SHEET,Inventory Item,
"L-Ankle Connector As Per Drawing, With Black Powder Coated",00-50003882,,Nos,Inventory Item,
LASER RANGE METER,00-50000816,,Nos,Inventory Item,Cost of Materials
LDF 6'x12'x12mm Thk,00-50003207,,SHEET,Inventory Item,Cost of Materials
LEATHER FABRIC,00-50000244,,Mtr,Inventory Item,
LED COB STRIPLIGHT-2700K 12V,00-50003787,,Mtr,Inventory Item,
LED LIGHT WORKS,00-50003398,,Set,Inventory Item,Cost of Materials
LED STRIP LIGHT,00-50001147,,LM,Inventory Item,
LED TV AND TOUCH SCREEN RENTAL,00-50002178,,LOT,Service,
"LINEAR LIGHT SUSPENDED 50X 70MM ,3000K,40W ,1.13M LENGTH BLACK COLOUR TRIDONIC POWER SUPPLY AND MODULE",00-50003760,,Nos,Inventory Item,
LOCTITE GLUE-48,00-50004051,,Nos,Inventory Item,
MACHINERY MAINTENANCE,00-50000699,,LS,Service,
MAKITA LS1216 SLIDE SAW PARTS,00-50003650,,Nos.,Inventory Item,
MARBLE - OROBICO,00-50002050,,Nos.,Inventory Item,Cost of Materials
MARINE PLYWOOD 4X8X18MM,00-50000845,,SHEET,Inventory Item,
"MASKING TAPE 2""X50YARD-ASMACO",00-00000196,,Box,Inventory Item,
Material Shifting,00-50003421,,LM,Inventory Item,
MDF 4'x8'x3mm Thk,00-50000337,,SHEET,Inventory Item,
MDF MR 4x8x18mm,00-50000027,,SHEET,Inventory Item,
METAL BASE ROUND SHAPE,00-50001618,,Nos,Inventory Item,Cost of Materials
METAL FRAME,00-50003078,,No.,Inventory Item,Cost of Materials
METAL FRAME FOR TROLLY BED WITH WHEEL,00-50002879,,Set,Inventory Item,Cost of Materials
METAL FRAME FRONT AND BACK - 2MM Z-SHAPE GLAZING STAINLESS STEEL FRAME IN BLACK POWDER COATING ,00-50003867,,Nos,Inventory Item,
METAL HANGER BAR  ,00-50001469,,Nos,Inventory Item,
METAL LEG COVER BRUSH FINISH,00-50001619,,Nos,Inventory Item,Cost of Materials
METAL PIPE,00-50003904,,LM,Inventory Item,Cost of Materials
METAL TUBE,00-50003228,,No.,Inventory Item,Cost of Materials
MICROSOFT E-MAIL CONFIGRATION,00-50001128,,Nos,Service,Office Supplies
MINI SCREW BRASS,00-50004033,,Box,Inventory Item,
MINI SLIDING TABLE SAW WJ-300,00-50002882,,Unit,Inventory Item,
MIRROR CAP FOR TABLE TOP,00-50004046,,Nos,Inventory Item,
MIXER ARK 938 PULL OUT #239381200,00-50003843,,Nos,Inventory Item,
Mixture Hole Cutout,00-50003424,,Nos,Service,
MORTISE LOCK BODY 85X45MM BLACK,00-50000804,,Nos,Inventory Item,Material costs
"MOVINGUI WOOD K.D.(GOLDEN IROKO) 2""x6 & UP",00-50000261,,CFT,Inventory Item,Material costs
MR MDF 4X8X12MM - MADE  IN THAILAND,00-50000850,,SHEET,Inventory Item,
MR MDF 4X8X18MM - MADE IN THAILAND,00-50000868,,SHEET,Inventory Item,
MR MDF 4X8X6MM  - MADE  IN THAILAND,00-50000848,,SHEET,Inventory Item,
MR MDF 4X8X9MM - MADE IN THAILAND,00-50000861,,SHEET,Inventory Item,
MR MDF 6X12X12MM-MADE IN THAILAND,00-50002604,,SHEET,Inventory Item,
MR MDF 6X12X18MM - MADE  IN THAILAND,00-50000870,,SHEET,Inventory Item,
NC THINNER,00-50000357,,Litre,Inventory Item,
NEUTRAL SILICONE-0892538301,00-50002676,,PCS,Inventory Item,
NON-FIRE RATED HOLLOW CORE CHIPBOARD 33MMX3X7,00-50003041,,SHEET,Inventory Item,Cost of Materials
NON-FIRE RATED SOLID CHIPBOARD 44MMX3X7,00-50000887,,SHEET,Inventory Item,
OAK VENEER - QUARTER CUT - AAA GRADE,00-50002166,,Sqm,Inventory Item,
"One-time payment for configuration settings, master data uploading and users rights establishment.",00-50001572,,LS,Service,
OP461FR FIRE RETARDANT TOP COAT APS-10%,00-50003330,,Kg,Inventory Item,
OPEN BRACKET,00-50003600,,No.,Inventory Item,
OUTSOURCE LABOR,00-50000342,,HR,Service,Subcontractor Cost
P.U High Gloss APS LP571,00-50003353,,LTR,Inventory Item,
"PAINT ROLLER RIFIL 4""-UKEN",00-00000079,,Nos,Inventory Item,
PAINTING FOR WOODEN DOOR ARCHITRAVE,00-50003880,,Nos,Inventory Item,
PAINTING FOR WOODEN DOOR FRAME,00-50003879,,Nos,Inventory Item,
PAINTING WORK - INTERNAL DOOR (NFR),00-50003322,,Nos,Service,
PAINTING WORK FOR WOODEN DOOR LEAF,00-50003878,,Nos,Service,
PE02 Epoxy Paste Blue - F.O.C (ICA),00-50003986,,Kg,Inventory Item,
PEST CONTROL,00-50003163,,LOT,Service,
PIVOT HINGES,00-50000799,,Set,Inventory Item,Cost of Materials
PLASTIC SLIDING GUIDE  SCC458501,00-50003377,,Nos,Inventory Item,
PLASTIC VENTILATION GRILL460 X 65MM - WHITE,00-50003631,,Nos,Inventory Item,
Plinth  adj.foot pl.black 100mm- 637.17.303,00-50000891,,PCS,Inventory Item,
Plinth  clip pl.black.w.bar-637.45.920 (Pcs),00-50000894,,PCS,Inventory Item,
PRINT OUT,00-50000757,,Nos,Service,
PU CLEAR MATT 10%,00-50000712,,Litre,Inventory Item,
PU CLEAR TOPCOAT 10% GLOSS - FR ,00-50000250,,Kg,Inventory Item,
PU MATT 10% RAL1931 - ICA,00-50003778,,Kg,Inventory Item,
PU PAINT 10% GLOSS - A0877E - 2845MK,00-50000782,,Litre,Inventory Item,Cost of Materials
PU PAINT 10% GLOSS - KAS1323 ,00-50000784,,Litre,Inventory Item,Cost of Materials
PU PAINT 10% GLOSS - KAS3044 MK,00-50000790,,Litre,Inventory Item,Cost of Materials
PU PAINT 5% GLOSS - FR,00-50000783,,Litre,Inventory Item,Cost of Materials
PU PAINT BLACK 10% GLOSS,00-50001010,,Litre,Inventory Item,Cost of Materials
PU PAINT BLACK 100% GLOSS,00-50000760,,Litre,Inventory Item,Cost of Materials
PU PAINT BLACK 30% GLOSS,00-50000758,,Litre,Inventory Item,Cost of Materials
PU PAINT BLACK 50% GLOSS,00-50000759,,Litre,Inventory Item,Cost of Materials
PU PAINT JOTUN 1625 MATT 10%,00-50003561,,LTR,Inventory Item,
PU PAINT RAL 9001 10% GLOSS,00-50003777,,LTR,Inventory Item,
PU PAINT RAL-7004 MATT - 10% ,00-50003444,,LTR,Inventory Item,
PU PAINT SOFT GREY JOTUN 0394 - 10% GLOSSY,00-50003471,,LTR,Inventory Item,
PU PAINT WHITE LINEN JOTUN 10182 - 10% GLOSSY,00-50003472,,LTR,Inventory Item,
PU PRIMER WHITE,00-50000761,,Litre,Inventory Item,Cost of Materials
PU PRIMER WHITE - FR E/1464IT-25LTR,00-50004045,,Litre,Inventory Item,Cost of Materials
PU SANDING SEALER ,00-50000709,,Litre,Inventory Item,
PU SLOW DRY THINNER D1010,00-50003331,,LTR,Inventory Item,
PU THINNER,00-50000251,,Litre,Inventory Item,Cost of Materials
PU THINNER - SLOW DRY,00-50000764,,Litre,Inventory Item,Cost of Materials
PU TOPCOAT 10% MATT - ICA,00-50002908,,Litre,Inventory Item,Cost of Materials
PU TOPCOAT 50% GLOSS,00-50003997,,Litre,Inventory Item,Cost of Materials
PU TOPCOAT CLEAR 10%,00-50000789,,Litre,Inventory Item,Cost of Materials
PU TOPCOAT CLEAR 20%,00-50001108,,Litre,Inventory Item,Cost of Materials
PU TOPCOAT EXTERIOR 10% GLOSS - ICA,00-50001403,,Litre,Inventory Item,Cost of Materials
PULL HANDLE 50CM BLACK (512MMX12MM),00-50000803,,Nos,Inventory Item,Material costs
Push to Open lock ,00-50000322,,No.,Inventory Item,
PVC FOREX SHEET 20MMX1220X2440,00-50003592,,SHEET,Inventory Item,Cost of Materials
PVC LIPPIG 1MMX22MM MF-365 FANCY WALNUT,00-50003694,,LM,Inventory Item,
Pvc Lipping  1mm x 22mm  Matching SF1260K,00-50000948,,Roll,Inventory Item,
PVC LIPPING - SLATE GREY - 30 X 0.8MM,00-50003978,,LM,Inventory Item,
PVC LIPPING-  UNI3051- SLATE GREY - 22x1MM,00-50000874,,LM,Inventory Item,
PVC LIPPING 0.5MMX22 WHITE,00-50003662,,LM,Inventory Item,
PVC LIPPING 0.8MMX22 - SAND ORLEANS OAK - EG-E-H1377S36,00-50003981,,LM,Inventory Item,
PVC LIPPING 1MMX22 WHITE,00-50003692,,LM,Inventory Item,
PVC LIPPING 1MMX22MM SF1260K AL SAMA,00-50000924,,Mtr,Inventory Item,
PVC LIPPING 22MM X .8MM SDE-30309 MT-SKYDECOR,00-50002958,,LM,Inventory Item,
PVC LIPPING 22MMX.8MM SDL-30305 GRN-SKYDECOR,00-50003675,,LM,Inventory Item,
PVC LIPPING P1019-T02 22MMX1MM 100MTR,00-50000281,,Mtr,Inventory Item,
PVC LIPPING W2036-T09 22X1MM-100MTR,00-50000280,,Mtr,Inventory Item,
Rail end support 803.25.250 - Hafele,00-50001920,,Nos,Inventory Item,
RECESSED NEON FLEXIBLE PROFILE 16MMX12MM,00-50003620,,Mtr,Inventory Item,
RECON EWPT 01-WL17CC VENEER Size:2.50mX0.64m=1.60m2/sheet,00-50000897,,Sqm,Inventory Item,
RECON VENEER EWPT 01-G001QC - SIZE:2.50MX0.64M=1.60M2/SHEET,00-50003900,,Sqm,Inventory Item,
Refinishing with paint,00-50000382,,Nos,Service,Subcontractor Cost
RENTAL GENERATOR,00-50000239,,No.,Service,
RENTAL SOFA- EXECUTIVE ARM CHAIR - 0.85M x 0.75Mx 0.7M H,00-50002157,,Nos,Service,
ROCKWOOL 1200X600,00-50001089,,Nos,Inventory Item,Cost of Materials
Safety Ear Plug -Taiwan,00-00000299,,No.,Inventory Item,
SAFETY GOGGLE,00-50000774,,Nos,Inventory Item,Cost of Materials
SAFETY HELMET - WHITE,00-50000770,,Nos,Inventory Item,Cost of Materials
SAFETY HELMET - YELLOW,00-50000771,,Nos,Inventory Item,Cost of Materials
SAFETY JACKET - NEON YELLOW,00-50000772,,Nos,Inventory Item,Cost of Materials
"SAMSUNG 85"" LED TV",00-50002541,,Nos,Inventory Item,
SAMSUNG GALAXY TAB 5G S10 + 8GB 128GB,00-50003948,,Nos,Inventory Item,
SAMSUNG GALAXY TAB S9FE+ 8GB 128GB,00-50003794,,Nos,Inventory Item,
Samsung UA70U8000FUXZN 4K Smt UHD TV 70,00-50003626,,Nos,Inventory Item,
SANDING BELT 1380X2620 GRIT-120,00-50002012,,Roll,Inventory Item,Cost of Materials
SANDING BELT 1380X2620 GRIT-220,00-50002013,,Roll,Inventory Item,Cost of Materials
SANDING BELT 1380X2620 GRIT-400,00-50002014,,Roll,Inventory Item,Cost of Materials
SANDING BELT 1380X2620 GRIT-80,00-50002011,,Roll,Inventory Item,Cost of Materials
Sanding Paper # 600,00-50001029,,Pkt.,Inventory Item,
Sanding Paper 120G,00-00000240,,Roll,Inventory Item,
SANDING PAPER NO 320,00-50000695,,Pkt.,Inventory Item,
SANDING PAPER P220 X 4.5'' - BELMONT,00-50000268,,Pkt,Inventory Item,Material costs
SANDING PAPER P320 X 4.5'' - BELMONT,00-50000269,,Pkt,Inventory Item,Material costs
SDE-10121 MT 0.8MMX22MM LIPPING,00-50003829,,LM,Inventory Item,
SDE-10131 MT 0.8MMX22MM LIPPING,00-50003827,,LM,Inventory Item,
SDE-30308 MT 0.8MMX22MM LIPPING,00-50003828,,LM,Inventory Item,
SDF-30371 0.8MMX22MM LIPPING,00-50004050,,LM,Inventory Item,
SELF CLOSING HINGES 4X3X3,00-50000747,,Nos,Inventory Item,Cost of Materials
Self Tapping Screw CSK 6 x 1 - TUFFIX,00-50000258,,Pkt.,Inventory Item,Material costs
Self Tapping Screw CSK 6 x 3/4 - TUFFIX,00-50000254,,Pkt.,Inventory Item,Material costs
Self Tapping Screw CSK 6 x 5/8 - TUFFIX,00-50000256,,Pkt.,Inventory Item,Material costs
Self Tapping Screw CSK 8 x 1 - TUFFIX,00-50000257,,Pkt.,Inventory Item,Material costs
Self Tapping Screw CSK 8 x 3/4 - TUFFIX,00-50000253,,Pkt.,Inventory Item,Material costs
Self Tapping Screw CSK 8 x 5/8 - TUFFIX,00-50000255,,Pkt.,Inventory Item,Material costs
SERVICE,00-50003987,,Nos,Service,
"SHELF BRACKET 9""x12"" WHITE",00-50001642,,Pcs,Inventory Item,Cost of Materials
SHELF SUPPORT  PIN - WHITE,00-50000880,,Nos,Inventory Item,
SHELF SUPPORT PIN - CLEAR,00-50003044,,Nos,Inventory Item,Cost of Materials
SHELF SUPPORT PIN - METAL,00-50003230,,Nos,Inventory Item,Cost of Materials
SINGLE ACTION HINGES 4 X 3 X 3,00-50000756,,Nos,Inventory Item,Cost of Materials
SINGLE FR SERVICE DOOR,00-50003835,,Nos.,Inventory Item,
Sink Cut Out,00-50003422,,Nos,Inventory Item,
Sink Cut Out,00-50003423,,Nos,Service,
Sliding Track Channel & Accessories - 2 meter,00-50001197,,Set,Inventory Item,
SOCKET 16A MALE,00-50001222,,Nos,Inventory Item,Cost of Materials
SOFT CLOSER KIT S/A 180 (CONCEALED)HCN30638,00-50003371,,Nos,Inventory Item,
SOFT CLOSER S/A 130 (TRACK MOUNTED) HCN30614,00-50003375,,Nos,Inventory Item,
SOFT FOAM 20KG 200X100X3CM,00-50003381,,Nos,Inventory Item,Cost of Materials
SOFT FOAM 40KG 200X100X3CM,00-50001090,,Nos,Inventory Item,Cost of Materials
SOFT FOAM 40KG 200X100X5CM,00-50000741,,Nos,Inventory Item,Cost of Materials
"SOLID  MAHAGONY WOOD 2"" X8"" KD",00-50000920,,CFT,Inventory Item,
SOLID CONCRETE BLOCK,00-50003883,,Nos.,Inventory Item,
"SOLID FRAKE WOOD 3"" KD 6'' & WIDER",00-50003384,,CFT,Inventory Item,
"SOLID WOOD - MERANTI - 2""x10""x8'",00-50000780,,CFT,Inventory Item,Cost of Materials
"SOLID WOOD MOVINGUI  (GOLDEN IROKO), 3""X 6"" AND WIDER",00-50000835,,CFT,Inventory Item,Cost of Materials
SPIRAL BIT FOR CNC PART-NR 9BB.060,00-50002336,,Nos,Inventory Item,
SSD 2.5 HDD 1TB,00-50000802,,Nos,Service,
STEEL FRAME,00-50003648,,Set,Inventory Item,
STRAIGHT ROUTER BIT 3 X 12 X 50 S 6MM,00-50000717,,Nos,Inventory Item,
STRAIGHT ROUTER BIT 3 X 20 X 06,00-50000718,,Nos,Inventory Item,
